date,close,ret_log,y_pred,signal_t,position,strat_ret_log,equity
2010-01-01,26.3,0.0,1,1,0,0.0,1.0
2010-01-04,26.3,0.0,1,1,1,0.0,1.0
2010-01-05,26.3,0.0,1,1,1,0.0,1.0
2010-01-06,26.3,0.0,1,1,1,0.0,1.0
2010-01-07,26.3,0.0,1,1,1,0.0,1.0
2010-01-08,26.25,-0.001902950146086102,1,1,1,-0.001902950146086102,0.9980988593155894
2010-01-11,26.25,0.0,1,1,1,0.0,0.9980988593155894
2010-01-12,26.2,-0.0019065782705816048,1,1,1,-0.0019065782705816048,0.9961977186311787
2010-01-13,26.2,0.0,1,1,1,0.0,0.9961977186311787
2010-01-14,26.15,-0.0019102202561191994,-1,-1,1,-0.0019102202561191994,0.9942965779467681
2010-01-15,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-18,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-19,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-20,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-21,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-22,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-25,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-26,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-27,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-28,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-01-29,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-02-01,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-02-02,26.1,-0.0019138761822841133,-1,-1,-1,0.0019138761822841133,0.9962013606631411
2010-02-03,26.1,0.0,-1,-1,-1,-0.0,0.9962013606631411
2010-02-04,26.2,0.0038240964384033127,-1,-1,-1,-0.0038240964384033127,0.9923990653934347
2010-02-05,26.15,-0.0019102202561191994,-1,-1,-1,0.0019102202561191994,0.9942965779467681
2010-02-08,26.15,0.0,-1,-1,-1,-0.0,0.9942965779467681
2010-02-09,26.6,0.017062025276721737,-1,-1,-1,-0.017062025276721737,0.9774757711769917
2010-02-10,26.15,-0.017062025276721737,1,1,-1,0.017062025276721737,0.9942965779467681
2010-02-11,26.2,0.0019102202561191994,1,1,1,0.0019102202561191994,0.9961977186311787
2010-02-12,26.15,-0.0019102202561191994,1,1,1,-0.0019102202561191994,0.9942965779467681
2010-02-15,26.15,0.0,1,1,1,0.0,0.9942965779467681
2010-02-16,26.15,0.0,1,1,1,0.0,0.9942965779467681
2010-02-17,26.15,0.0,1,1,1,0.0,0.9942965779467681
2010-02-18,26.15,0.0,1,1,1,0.0,0.9942965779467681
2010-02-19,26.15,0.0,1,1,1,0.0,0.9942965779467681
2010-02-22,26.15,0.0,1,1,1,0.0,0.9942965779467681
2010-02-23,26.15,0.0,1,1,1,0.0,0.9942965779467681
2010-02-24,26.2,0.0019102202561191994,1,1,1,0.0019102202561191994,0.9961977186311787
2010-02-25,26.2,0.0,1,1,1,0.0,0.9961977186311787
2010-02-26,26.2,0.0,1,1,1,0.0,0.9961977186311787
2010-03-01,26.2,0.0,1,1,1,0.0,0.9961977186311787
2010-03-02,26.2,0.0,1,1,1,0.0,0.9961977186311787
2010-03-03,26.25,0.0019065782705816048,1,1,1,0.0019065782705816048,0.9980988593155894
2010-03-04,26.25,0.0,1,1,1,0.0,0.9980988593155894
2010-03-05,26.35,0.0038022859497388595,1,1,1,0.0038022859497388595,1.001901140684411
2010-03-08,26.4,0.0018957351648989373,1,1,1,0.0018957351648989373,1.0038022813688214
2010-03-09,26.4,0.0,-1,-1,1,0.0,1.0038022813688214
2010-03-10,26.4,0.0,1,1,-1,-0.0,1.0038022813688214
2010-03-11,26.4,0.0,1,1,1,0.0,1.0038022813688214
2010-03-12,26.6,0.007547205635383136,1,1,1,0.007547205635383136,1.011406844106464
2010-03-15,26.6,0.0,1,1,1,0.0,1.011406844106464
2010-03-16,26.55,-0.0018814680997056854,1,1,1,-0.0018814680997056854,1.0095057034220534
2010-03-17,26.5,-0.0018850146957714031,1,1,1,-0.0018850146957714031,1.0076045627376427
2010-03-18,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-03-19,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-03-22,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-03-23,26.55,0.0018850146957714031,1,1,1,0.0018850146957714031,1.0095057034220534
2010-03-24,26.6,0.0018814680997056854,1,1,1,0.0018814680997056854,1.011406844106464
2010-03-25,26.6,0.0,1,1,1,0.0,1.011406844106464
2010-03-26,26.55,-0.0018814680997056854,1,1,1,-0.0018814680997056854,1.0095057034220534
2010-03-29,26.5,-0.0018850146957714031,1,1,1,-0.0018850146957714031,1.0076045627376427
2010-03-30,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-03-31,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-04-01,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-04-02,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-04-05,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-04-06,26.5,0.0,1,1,1,0.0,1.0076045627376427
2010-04-07,26.6,0.0037664827954770885,1,1,1,0.0037664827954770885,1.011406844106464
2010-04-08,26.55,-0.0018814680997056854,1,1,1,-0.0018814680997056854,1.0095057034220534
2010-04-09,26.6,0.0018814680997056854,1,1,1,0.0018814680997056854,1.011406844106464
2010-04-12,26.6,0.0,1,1,1,0.0,1.011406844106464
2010-04-13,26.6,0.0,1,1,1,0.0,1.011406844106464
2010-04-14,26.6,0.0,1,1,1,0.0,1.011406844106464
2010-04-15,26.8,0.007490671729157405,1,1,1,0.007490671729157405,1.0190114068441065
2010-04-16,26.8,0.0,1,1,1,0.0,1.0190114068441065
2010-04-19,26.8,0.0,1,1,1,0.0,1.0190114068441065
2010-04-20,26.8,0.0,1,1,1,0.0,1.0190114068441065
2010-04-21,26.8,0.0,1,1,1,0.0,1.0190114068441065
2010-04-22,26.8,0.0,1,1,1,0.0,1.0190114068441065
2010-04-23,26.8,0.0,1,1,1,0.0,1.0190114068441065
2010-04-26,26.8,0.0,1,1,1,0.0,1.0190114068441065
2010-04-27,26.85,0.0018639334380625705,1,1,1,0.0018639334380625705,1.020912547528517
2010-04-28,26.9,0.0018604656529195296,1,1,1,0.0018604656529195296,1.0228136882129275
2010-04-29,26.95,0.001857010747213117,1,1,1,0.001857010747213117,1.0247148288973387
2010-04-30,26.95,0.0,1,1,1,0.0,1.0247148288973387
2010-05-03,26.95,0.0,1,1,1,0.0,1.0247148288973387
2010-05-04,27.1,0.005550430530648853,1,1,1,0.005550430530648853,1.0304182509505704
2010-05-05,27.1,0.0,1,1,1,0.0,1.0304182509505704
2010-05-06,27.1,0.0,1,1,1,0.0,1.0304182509505704
2010-05-07,27.1,0.0,1,1,1,0.0,1.0304182509505704
2010-05-10,27.1,0.0,1,1,1,0.0,1.0304182509505704
2010-05-11,27.1,0.0,1,1,1,0.0,1.0304182509505704
2010-05-12,27.15,0.0018433184942892034,1,1,1,0.0018433184942892034,1.0323193916349809
2010-05-13,27.15,0.0,1,1,1,0.0,1.0323193916349809
2010-05-14,27.15,0.0,1,1,1,0.0,1.0323193916349809
2010-05-17,27.3,0.00550965581096996,1,1,1,0.00550965581096996,1.0380228136882133
2010-05-18,27.3,0.0,1,1,1,0.0,1.0380228136882133
2010-05-19,27.3,0.0,1,1,1,0.0,1.0380228136882133
2010-05-20,27.4,0.003656311203110274,1,1,1,0.003656311203110274,1.0418250950570342
2010-05-21,27.4,0.0,1,1,1,0.0,1.0418250950570342
2010-05-24,27.4,0.0,1,1,1,0.0,1.0418250950570342
2010-05-25,27.4,0.0,1,1,1,0.0,1.0418250950570342
2010-05-26,27.4,0.0,1,1,1,0.0,1.0418250950570342
2010-05-27,27.5,0.0036429912785012064,1,1,1,0.0036429912785012064,1.0456273764258557
2010-05-28,27.5,0.0,1,1,1,0.0,1.0456273764258557
2010-05-31,27.5,0.0,1,1,1,0.0,1.0456273764258557
2010-06-01,27.5,0.0,1,1,1,0.0,1.0456273764258557
2010-06-02,27.5,0.0,1,1,1,0.0,1.0456273764258557
2010-06-03,27.5,0.0,1,1,1,0.0,1.0456273764258557
2010-06-04,27.6,0.0036297680505787966,1,1,1,0.0036297680505787966,1.0494296577946771
2010-06-07,27.5,-0.0036297680505787966,1,1,1,-0.0036297680505787966,1.0456273764258557
2010-06-08,27.5,0.0,1,1,1,0.0,1.0456273764258557
2010-06-09,27.55,0.0018165309263977747,1,1,1,0.0018165309263977747,1.0475285171102662
2010-06-10,27.6,0.001813237124181022,1,1,1,0.001813237124181022,1.0494296577946771
2010-06-11,27.6,0.0,1,1,1,0.0,1.0494296577946771
2010-06-14,27.6,0.0,1,1,1,0.0,1.0494296577946771
2010-06-15,27.6,0.0,1,1,1,0.0,1.0494296577946771
2010-06-16,27.75,0.005420067469338985,1,1,1,0.005420067469338985,1.0551330798479088
2010-06-17,27.85,0.003597126180849397,1,1,1,0.003597126180849397,1.05893536121673
2010-06-18,27.8,-0.0017969456767015224,1,1,1,-0.0017969456767015224,1.0570342205323195
2010-06-21,27.95,0.005381178904516837,1,1,1,0.005381178904516837,1.0627376425855515
2010-06-22,28.0,0.0017873105740955353,1,1,1,0.0017873105740955353,1.064638783269962
2010-06-23,28.0,0.0,1,1,1,0.0,1.064638783269962
2010-06-24,28.0,0.0,1,1,1,0.0,1.064638783269962
2010-06-25,28.1,0.0035650661644961446,1,1,1,0.0035650661644961446,1.0684410646387832
2010-06-28,28.15,0.0017777782459993396,1,1,1,0.0017777782459993396,1.070342205323194
2010-06-29,28.4,0.008841790581461062,1,1,1,0.008841790581461062,1.0798479087452473
2010-06-30,28.45,0.0017590154051796425,1,1,1,0.0017590154051796425,1.081749049429658
2010-07-01,28.45,0.0,1,1,1,0.0,1.081749049429658
2010-07-02,28.45,0.0,1,1,1,0.0,1.081749049429658
2010-07-05,28.45,0.0,1,1,1,0.0,1.081749049429658
2010-07-06,28.6,0.005258557253466911,1,1,1,0.005258557253466911,1.0874524714828897
2010-07-07,28.4,-0.007017572658646554,1,1,1,-0.007017572658646554,1.0798479087452473
2010-07-08,28.6,0.007017572658646554,1,1,1,0.007017572658646554,1.0874524714828897
2010-07-09,28.4,-0.007017572658646554,1,1,1,-0.007017572658646554,1.0798479087452473
2010-07-12,28.4,0.0,1,1,1,0.0,1.0798479087452473
2010-07-13,28.35,-0.0017621149933990665,1,1,1,-0.0017621149933990665,1.0779467680608368
2010-07-14,28.4,0.0017621149933990665,1,1,1,0.0017621149933990665,1.0798479087452473
2010-07-15,28.5,0.0035149421074445186,1,1,1,0.0035149421074445186,1.0836501901140685
2010-07-16,28.5,0.0,1,1,1,0.0,1.0836501901140685
2010-07-19,28.5,0.0,1,1,1,0.0,1.0836501901140685
2010-07-20,28.5,0.0,1,1,1,0.0,1.0836501901140685
2010-07-21,28.5,0.0,1,1,1,0.0,1.0836501901140685
2010-07-22,28.5,0.0,1,1,1,0.0,1.0836501901140685
